element_group	superfamily	lineage	structural_status	element_length_bp	ltr_length_bp	ltr1_length_bp	ltr2_length_bp
LTR_retrotransposon	Copia	Ale	complete	4898	392		
LTR_retrotransposon	Copia	Ale	complete	4898	153		
LTR_retrotransposon	Copia	Ale	complete	4899	246		
LTR_retrotransposon	Copia	Ale	complete	4900	299		
LTR_retrotransposon	Copia	Ale	complete	4900	472		
LTR_retrotransposon	Copia	Ale	complete	4901	169		
LTR_retrotransposon	Copia	Ale	complete	4901	225		
LTR_retrotransposon	Copia	Ale	complete	4902	163		
LTR_retrotransposon	Copia	Ale	complete	4906	409		
LTR_retrotransposon	Copia	Ale	complete	4906	311		
LTR_retrotransposon	Copia	Ale	complete	4908	228		
LTR_retrotransposon	Copia	Ale	complete	4909	309		
LTR_retrotransposon	Copia	Ale	complete	4909	145		
LTR_retrotransposon	Copia	Ale	complete	4910	309		
LTR_retrotransposon	Copia	Ale	complete	4910	305		
LTR_retrotransposon	Copia	Ale	complete	4910	201		
LTR_retrotransposon	Copia	Ale	complete	4911	335		
LTR_retrotransposon	Copia	Ale	complete	4911	325		
LTR_retrotransposon	Copia	Ale	complete	4913	242		
LTR_retrotransposon	Copia	Ale	complete	4913	318		
LTR_retrotransposon	Copia	Ale	complete	4914	245		
LTR_retrotransposon	Copia	Ale	complete	4914	405		
LTR_retrotransposon	Copia	Ale	complete	4915	258		
LTR_retrotransposon	Copia	Ale	complete	4915	183		
LTR_retrotransposon	Copia	Ale	complete	4915	320		
LTR_retrotransposon	Copia	Ale	complete	4915	189		
LTR_retrotransposon	Copia	Ale	complete	4915	426		
LTR_retrotransposon	Copia	Ale	complete	4915	426		
LTR_retrotransposon	Copia	Ale	complete	4917	144		
LTR_retrotransposon	Copia	Ale	complete	4917	204		
LTR_retrotransposon	Copia	Ale	complete	4918	166		
LTR_retrotransposon	Copia	Ale	complete	4918	415		
LTR_retrotransposon	Copia	Ale	complete	4918	181		
LTR_retrotransposon	Copia	Ale	complete	4919	297		
LTR_retrotransposon	Copia	Ale	complete	4919	225		
LTR_retrotransposon	Copia	Ale	complete	4920	153		
LTR_retrotransposon	Copia	Ale	complete	4921	286		
LTR_retrotransposon	Copia	Ale	complete	4922	321		
LTR_retrotransposon	Copia	Ale	complete	4923	234		
LTR_retrotransposon	Copia	Ale	complete	4924	320		
LTR_retrotransposon	Copia	Ale	complete	4924	275		
LTR_retrotransposon	Copia	Ale	complete	4925	310		
LTR_retrotransposon	Copia	Ale	complete	4925	321		
LTR_retrotransposon	Copia	Ale	complete	4925	144		
LTR_retrotransposon	Copia	Ale	complete	4925	253		
LTR_retrotransposon	Copia	Ale	complete	4926	486		
LTR_retrotransposon	Copia	Ale	complete	4927	168		
LTR_retrotransposon	Copia	Ale	complete	4927	238		
LTR_retrotransposon	Copia	Ale	complete	4928	324		
LTR_retrotransposon	Copia	Ale	complete	4928	170		
LTR_retrotransposon	Copia	Ale	complete	4928	170		
LTR_retrotransposon	Copia	Ale	complete	4928	371		
LTR_retrotransposon	Copia	Ale	complete	4928	285		
LTR_retrotransposon	Copia	Ale	complete	4929	299		
LTR_retrotransposon	Copia	Ale	complete	4930	316		
LTR_retrotransposon	Copia	Ale	complete	4930	148		
LTR_retrotransposon	Copia	Ale	complete	4930	298		
LTR_retrotransposon	Copia	Ale	complete	4931	346		
LTR_retrotransposon	Copia	Ale	complete	4931	321		
LTR_retrotransposon	Copia	Ale	complete	4931	399		
LTR_retrotransposon	Copia	Ale	complete	4932	165		
LTR_retrotransposon	Copia	Ale	complete	4932	167		
